Date,Open,High,Low,Close,Adj Close,Volume,TSX,TSX_Open,TSX_High,TSX_Low,TSX_Close,TSX_Adj Close,TSX_Volume
18-11-19,6.190000,6.240000,5.830000,5.830000,5.830000,2265000,,15137.400391,15170.799805,15040.500000,15071.000000,15071.000000,225780400
18-11-20,5.660000,6.030000,5.450000,5.850000,5.850000,3217400,,14941.700195,14952.500000,14810.599609,14877.000000,14877.000000,292344300
18-11-21,6.000000,6.130000,5.900000,5.900000,5.900000,1780300,,14941.700195,15195.400391,14938.299805,15095.000000,15095.000000,270566000
18-11-22,5.920000,5.990000,5.770000,5.810000,5.810000,763300,,15077.900391,15105.599609,15059.099609,15091.599609,15091.599609,83391200
18-11-23,5.770000,5.920000,5.650000,5.850000,5.850000,929500,,14998.099609,15028.599609,14900.299805,15010.700195,15010.700195,154972200
18-11-26,5.980000,5.980000,5.580000,5.670000,5.670000,1512500,,15066.700195,15127.099609,14994.299805,15012.700195,15012.700195,245892100
18-11-27,5.540000,5.790000,5.510000,5.590000,5.590000,1417400,,14994.400391,15021.700195,14907.500000,14944.099609,14944.099609,219177800
18-11-28,5.600000,5.890000,5.560000,5.870000,5.870000,1493500,,15002.900391,15171.299805,14981.700195,15171.299805,15171.299805,244842300
18-11-29,5.870000,6.180000,5.780000,6.100000,6.100000,1885700,,15157.099609,15251.200195,15138.900391,15194.000000,15194.000000,223082300
18-11-30,6.140000,6.270000,6.000000,6.060000,6.060000,4164800,,15135.000000,15214.299805,15125.400391,15197.799805,15197.799805,339228800
18-12-03,6.150000,6.190000,5.670000,5.870000,5.870000,3524100,,15358.900391,15378.900391,15154.700195,15275.000000,15275.000000,294475600
18-12-04,5.800000,5.840000,5.560000,5.600000,5.600000,2229600,,15226.799805,15259.299805,15047.099609,15063.599609,15063.599609,285129100
18-12-05,5.500000,5.680000,4.970000,5.130000,5.130000,2865500,,15139.299805,15253.799805,15122.599609,15182.599609,15182.599609,180095700
18-12-06,5.020000,5.430000,4.920000,5.200000,5.200000,4621400,,14972.700195,14972.700195,14773.900391,14937.000000,14937.000000,358773400
18-12-07,5.490000,5.580000,5.030000,5.200000,5.200000,3895200,,14986.500000,15059.700195,14763.900391,14795.099609,14795.099609,311247900
18-12-10,5.210000,5.230000,4.890000,5.050000,5.050000,2225100,,14769.599609,14795.900391,14610.200195,14728.299805,14728.299805,275806900
18-12-11,5.150000,5.380000,5.050000,5.320000,5.320000,1819900,,14891.200195,14957.799805,14665.900391,14667.799805,14667.799805,275639600
18-12-12,5.350000,5.460000,5.100000,5.150000,5.150000,1873700,,14802.299805,14902.700195,14778.900391,14783.099609,14783.099609,268233000
18-12-13,5.160000,5.240000,4.880000,4.990000,4.990000,1854400,,14814.099609,14871.700195,14721.299805,14750.400391,14750.400391,264774700
18-12-14,4.990000,5.130000,4.880000,4.950000,4.950000,2335000,,14651.200195,14715.299805,14567.299805,14595.099609,14595.099609,277086200
18-12-17,4.890000,5.120000,4.720000,4.900000,4.900000,2545700,,14567.599609,14577.599609,14323.700195,14362.700195,14362.700195,264315200
18-12-18,5.000000,5.090000,4.910000,4.960000,4.960000,1516200,,14378.500000,14502.599609,14373.799805,14416.900391,14416.900391,386847800
18-12-19,4.950000,5.030000,4.780000,4.810000,4.810000,1622000,,14452.000000,14552.299805,14256.099609,14264.099609,14264.099609,370363000
18-12-20,4.760000,4.850000,4.440000,4.550000,4.550000,2229900,,14244.700195,14341.700195,14075.900391,14141.799805,14141.799805,308247100
